"my_host23","01AB02CDEFEF","244.1.2.3"
"my_host10","EBCD1010FABB","190.122.2.0"
"my_host4","34345689BBBB","11.12.14.13"
"my_multicast_A","A9B8C7D6E5F6","225.4.4.5"
"my_host3","AFA10000BCDE","12.1.1.255"
"my_host40", "FEFEDCDCABAB","235.222.221.255"
"my_broadcast_B","01012020BABA","191.168.255.255"
"my_broadcast_C","EACADDF19555","195.122.1.255"
"my_unknown_host4","BBBBBBBBBBBC","0.0.0.1"
"my_host37","0ABC0DEF4321","126.4.4.5","This is my favorite host"
"my_host27","DCBAABCDEFFE","0192.170.4.4"
"my_host1","A0B534496B3C","192.168.1.4"
"my_host19","AEAEFDFD0101","192.168.1O.50"
"my_host42","  ","192.168.44.1"
