"my_host30","AAAACDBA0123","1.255.0.0"
"my_host5","BBBBAAAACCCC","129.1.2.3"
"my_host20","ACACDCDC_011","235.20.0.8"
"my_host6","AFA10101EDCB","14.0.255.255"
"my_host31","ABCDDCBAABCD","195.24.35.254"
"my_host7","AFB0101DCBE","199.169.5.0"
"my_host13","2211DDCCAABB","9.0.1.0"
"my_multicast_B","BACADAEAFAFA","239.0.1.0"
"my_host27","DCBAABCDEFFE",192.0170.4.4"
"my_host9","ABCD0123DCBA","191.168.2.255"
"my_multicast_C","DDDDCCCCBBBB","239.255.255.255"
"my_host23","01AB02CDEFEF","244.1.2.3"
"my_unknown_host5","BBBBBBBBBBBD","0.0.1.1"
"my_host24","F9E876ABC010","223.192.168.1"
"my_host25","ABCDEFGFEDCA","5.3.2.1"
"my_host26","ABCDFEEFDCBA","188.+1.7.7"
"my_host32","00ABCD00DCBA","184.0.0.3"
"my_host36","000000000000","192.154.2.5"
