"my_host5","BBBBAAAACCCC","129.1.2.3"
"my_host12","BBAACCDD1122","9.0.0.0"
"my_host9","ABCD0123DCBA","191.168.2.255"
"my_host22","A1B2C3D45EFE","10.0.0.1"
"my_host27","DCBAABCDEFFE","192.170.4.04"
"my_host28","ACBD1234EFFE","194.168.255.2"
"my_host30","AAAACDBA0123","1.255.0.0"
"my_unknown_host2","BBBBBBBBBBBB","0.0.0.0"
"my_multicast_c","DDDDCCCCBBBB","239.255.255.255"
"my_host33","BDCD012345FE","192.168.256.1"
"my_host34","0A1B2C3DE4F5","15.-1.4.2"
"my_host13","2211DDCCAABB","9.0.1.0"
"my_host31","ABCDDCBAABCD"," 195.24.35.254 "
"my_host32 ""," 00ABCD00DCBA",""184.0.0.3""
"my_host35","AbCd2346eFfE","202.4.5.6"
"my_unknown_host1","AAAAAAAAAAAA","255.255.255.255"
"my_unknown_host7","BBBBBBBBBBBF","0.1.0.0"
"my_host43","ABBACDDCEFFF","   "
